순위,영화명,변동폭
1,마약왕,1
2,보헤미안 랩소디,1
3,아쿠아맨,3
4,스파이더맨: 뉴 유니버스,1
5,국가부도의 날,1
6,스윙키즈,2
7,도어락,2
8,부탁 하나만 들어줘,1
9,완벽한 타인,1
10,성난황소,1
11,헌터 킬러,0
12,리벤져,0
13,호두까기 인형과 4개의 왕국,0
14,PMC: 더 벙커,2
15,로마,0
16,모털 엔진,2
17,그린치,1
18,신비한 동물들과 그린델왈드의 범죄,1
19,범블비,1
20,뺑반,31
21,군산: 거위를 노래하다,1
22,런닝맨 : 풀룰루의 역습,3
23,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,4
24,언니,1
25,극한직업,2
26,극장판 포켓몬스터 모두의 이야기,9
27,말모이,6
28,그레이트 월,1
29,러빙 빈센트,1
30,시니스터 스쿼드,6
31,동네사람들,1
32,후드,1
33,엘리엇과 산타 썰매단,7
34,트루먼 쇼,1
35,베일리 어게인,2
36,어벤져스: 엔드게임,4
37,베놈,3
38,퍼스트맨,2
39,메리 셸리: 프랑켄슈타인의 탄생,1
40,그날의 분위기,1
41,더 파티,0
42,나랏말싸미,2
43,맛있는누나들,1
44,점박이 한반도의 공룡2 : 새로운 낙원,9
45,트와일라잇,5
46,살인마 잭의 집,6
47,벽 속에 숨은 마법시계,1
48,출국,1
49,캡틴 마블,1
50,은혼2: 규칙은 깨라고 있는 것,7
